esquema,Nx,dx,dt,nt,erro_L2_rel,erro_Linf_rel,tempo_execucao_s
upwind,32,0.19634954084936207,0.009900990099009901,101,0.7093182857071053,1.2658157523221256,0.001363400006084703
upwind,64,0.09817477042468103,0.0049261083743842365,203,0.5895212475115188,1.2538782826835049,0.0027455999952508137
upwind,128,0.04908738521234052,0.0024630541871921183,406,0.4443749183162514,1.1765692425179441,0.005483300003106706
upwind,256,0.02454369260617026,0.0012285012285012285,814,0.3038270954680927,0.9821438504221784,0.017237499996554106
upwind,512,0.01227184630308513,0.00043010752688172043,2325,0.18603269844062625,0.6747541430844457,0.05624350000289269
upwind,1024,0.006135923151542565,0.00010756157900397978,9297,0.10402760695556457,0.3963632832576794,0.1276880999939749
central,32,0.19634954084936207,0.009900990099009901,101,nan,nan,0.004000200002337806
central,64,0.09817477042468103,0.0049261083743842365,203,nan,nan,0.00764799999888055
central,128,0.04908738521234052,0.0024630541871921183,406,0.013922283052674027,0.04906439287260486,0.006797800000640564
central,256,0.02454369260617026,0.0012285012285012285,814,0.0034746075587395626,0.013414745605583202,0.017180199996801093
central,512,0.01227184630308513,0.00043010752688172043,2325,0.0009529968221192951,0.00381516287928968,0.03807229999802075
central,1024,0.006135923151542565,0.00010756157900397978,9297,0.00023687128074893147,0.0009484330066444775,0.15646299999207258
